carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,type,manufacturer,model,engines,seats,engine,arr_delay
MQ,3713,N722MQ,LGA,XNA,161.0,1147,17,55,87.98,69.08,53.64,170.0,12.65858,,0.0,1015.0,9.0,,,,,,,1.0
EV,5968,N13538,EWR,BDL,24.0,116,12,57,86.0,68.0,55.04,160.0,9.20624,,0.0,1007.1,9.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
AA,719,N3JWAA,LGA,DFW,178.0,1389,8,25,80.96,68.0,64.77,290.0,4.60312,,0.0,1017.7,10.0,,,,,,,0.0
EV,5268,N759EV,LGA,CLT,,544,19,15,64.4,60.8,90.31,90.0,16.11092,,0.08,,2.5,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,
DL,1619,N913DE,LGA,MSP,139.0,1020,16,15,87.08,62.96,44.63,220.0,9.20624,18.41248,0.0,1008.8,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,2.0,142.0,Turbo-fan,1.0
AA,1925,N3CXAA,LGA,MIA,157.0,1096,15,0,51.98,24.08,33.44,310.0,12.65858,,0.0,1017.4,10.0,,,,,,,0.0
B6,600,N192JB,JFK,PWM,46.0,273,10,10,42.08,32.0,67.22,130.0,9.20624,,0.0,1029.5,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,1.0
UA,415,N823UA,LGA,ORD,111.0,733,13,0,51.98,33.08,48.34,40.0,14.96014,,0.0,1026.9,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-131,2.0,179.0,Turbo-jet,0.0
EV,5716,N828AS,JFK,IAD,45.0,228,6,0,53.06,48.02,82.94,200.0,11.5078,,0.0,1024.1,10.0,Fixed wing multi engine,CANADAIR,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
B6,611,N351JB,JFK,JAX,119.0,828,8,29,44.96,35.06,68.05,190.0,4.60312,,0.0,1019.7,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
MQ,3370,N813MQ,JFK,DCA,42.0,213,7,55,44.06,35.96,72.98,220.0,5.7539,,0.0,1024.5,10.0,,,,,,,0.0
UA,1740,N38268,EWR,IAH,200.0,1400,21,14,91.94,71.06,50.67,220.0,5.7539,,0.0,1014.8,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,1.0
EV,4407,N11184,EWR,OMA,164.0,1134,8,8,80.6,71.96,76.36,100.0,6.90468,,0.0,,9.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,Turbo-fan,0.0
UA,1735,N57855,EWR,LAX,344.0,2454,18,25,75.02,66.92,75.93,160.0,10.35702,19.56326,0.0,1018.3,10.0,Fixed wing multi engine,BOEING,757-324,2.0,275.0,Turbo-fan,1.0
DL,781,N979DL,LGA,ATL,143.0,762,12,59,80.06,55.94,43.56,280.0,9.20624,,0.0,1017.9,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,2.0,142.0,Turbo-fan,1.0
UA,1653,N39463,EWR,SJU,194.0,1608,7,44,51.08,35.96,56.05,260.0,6.90468,,0.0,1017.0,10.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,Turbo-fan,0.0
B6,5,N564JB,EWR,FLL,151.0,1065,9,0,69.98,51.98,52.8,40.0,5.7539,,0.0,1020.7,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
DL,435,N710TW,JFK,SFO,356.0,2586,19,0,35.06,15.08,43.52,60.0,4.60312,,0.0,1036.0,10.0,Fixed wing multi engine,BOEING,757-2Q8,2.0,178.0,Turbo-fan,1.0
UA,497,N445UA,EWR,TPA,130.0,997,9,29,68.0,46.04,45.26,220.0,6.90468,,0.0,1019.1,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
EV,5299,N723EV,LGA,MEM,138.0,963,10,40,80.96,60.08,49.09,60.0,11.5078,,0.0,1013.5,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,0.0
MQ,3675,N531MQ,LGA,BNA,110.0,764,10,10,46.94,32.0,55.85,340.0,17.2617,24.16638,0.0,1020.3,10.0,,,,,,,0.0
UA,1130,N48127,EWR,LAX,332.0,2454,13,15,75.02,69.98,84.34,140.0,11.5078,,0.0,1014.6,10.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,Turbo-jet,1.0
UA,306,N423UA,EWR,PBI,150.0,1023,8,59,28.04,1.04,30.67,310.0,20.71404,32.22184,0.0,1005.2,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
AA,177,N338AA,JFK,SFO,321.0,2586,17,55,89.06,71.96,57.18,180.0,9.20624,,0.0,1020.3,10.0,Fixed wing multi engine,BOEING,767-223,2.0,255.0,Turbo-fan,0.0
AA,117,N327AA,JFK,LAX,337.0,2475,13,45,39.92,21.02,46.41,360.0,11.5078,,0.0,1019.0,10.0,Fixed wing multi engine,BOEING,767-223,2.0,255.0,Turbo-fan,0.0
B6,1119,N198JB,JFK,CLT,78.0,541,17,0,80.96,73.04,76.9,200.0,11.5078,,0.0,1001.7,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,1.0
EV,4342,N14916,EWR,RDU,64.0,416,6,20,53.06,44.06,71.4,80.0,5.7539,,0.0,1027.0,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
WN,891,N465WN,EWR,HOU,207.0,1411,16,35,30.92,15.98,53.44,290.0,9.20624,17.2617,0.0,1009.0,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,0.0
DL,1508,N981DL,JFK,RSW,164.0,1074,16,5,35.06,21.02,56.18,80.0,8.05546,,0.0,,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,2.0,142.0,Turbo-fan,0.0
9E,3325,N937XJ,JFK,DFW,191.0,1391,14,59,78.98,73.4,83.55,190.0,13.80936,,0.0,,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
UA,635,N463UA,LGA,ORD,108.0,733,6,0,73.4,66.2,78.65,190.0,10.35702,,0.0,,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
9E,3492,N915XJ,JFK,DCA,72.0,213,8,32,64.04,60.08,86.95,190.0,28.7695,35.67418,0.0,1002.6,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
FL,357,N717JL,LGA,CAK,64.0,397,20,30,71.96,68.0,88.43,300.0,13.80936,,0.3,,9.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,Turbo-fan,1.0
UA,329,,EWR,SFO,,2565,18,35,82.4,73.4,74.28,170.0,11.5078,19.56326,0.0,,10.0,,,,,,,
DL,1275,N3753,JFK,SLC,246.0,1990,10,55,73.94,71.06,94.06,180.0,10.35702,,0.0,,6.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,0.0
DL,6,N6709,JFK,SLC,260.0,1990,18,55,37.04,33.08,85.43,350.0,11.5078,,0.03,999.1,6.0,Fixed wing multi engine,BOEING,757-232,2.0,178.0,Turbo-fan,1.0
DL,1529,N3748Y,JFK,LAS,308.0,2248,10,22,44.06,35.96,72.98,320.0,18.41248,25.31716,0.0,1007.9,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,0.0
WN,2239,N227WN,EWR,HOU,,1411,13,0,64.04,57.02,77.92,180.0,10.35702,,0.0,1003.9,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,
B6,155,N591JB,JFK,MCO,119.0,944,19,19,64.04,30.02,27.7,330.0,14.96014,26.46794,0.0,1019.5,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
B6,315,N516JB,JFK,FLL,134.0,1069,6,10,44.96,30.02,55.56,320.0,13.80936,,0.0,1020.2,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
UA,309,N413UA,EWR,FLL,151.0,1065,9,54,46.04,28.04,49.19,340.0,16.11092,,0.0,1015.9,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
B6,116,N346JB,JFK,SYR,47.0,209,9,30,77.0,57.92,51.76,300.0,14.96014,,0.0,1010.8,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
9E,3899,N8683B,JFK,CLE,79.0,425,19,25,59.0,48.92,69.17,180.0,10.35702,,0.0,1020.7,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,1.0
US,2126,N958UW,LGA,BOS,36.0,184,12,0,44.06,24.08,45.01,350.0,10.35702,,0.0,1015.0,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
EV,4572,N14998,EWR,GSP,90.0,594,15,20,53.06,39.02,58.77,120.0,6.90468,,0.0,1034.6,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
UA,1064,N39415,EWR,SFO,338.0,2565,18,29,48.02,28.94,47.36,250.0,6.90468,,0.0,1017.9,10.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,Turbo-fan,1.0
EV,4580,N15980,EWR,MKE,122.0,725,15,29,69.08,41.0,35.96,270.0,18.41248,24.16638,0.0,1011.3,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
UA,405,N597UA,LGA,DEN,220.0,1620,10,56,39.92,19.04,42.65,330.0,9.20624,,0.0,1012.5,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,0.0
MQ,4558,N737MQ,LGA,CLE,73.0,419,8,50,19.94,3.92,49.19,290.0,14.96014,,0.0,1023.4,10.0,Fixed wing single engine,CESSNA,172N,1.0,4.0,Reciprocating,0.0
B6,163,N267JB,JFK,SRQ,135.0,1041,7,52,75.02,69.08,81.79,0.0,0.0,,0.0,1012.1,9.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
B6,32,N258JB,JFK,ROC,56.0,264,13,3,30.92,3.92,31.16,230.0,17.2617,20.71404,0.0,1021.8,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,1.0
MQ,3604,N543MQ,EWR,ORD,114.0,719,20,5,37.04,17.96,45.58,20.0,5.7539,,0.0,1035.6,10.0,,,,,,,0.0
MQ,3231,N925MQ,JFK,PIT,,340,14,55,84.92,71.06,63.27,120.0,8.05546,,0.0,1012.5,10.0,,,,,,,
DL,930,N922DL,LGA,FLL,148.0,1076,11,0,48.92,41.0,73.99,170.0,11.5078,,0.0,1023.5,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,2.0,142.0,Turbo-fan,0.0
AA,773,N569AA,LGA,DFW,,1389,16,55,60.8,57.92,92.56,50.0,25.31716,,0.14,,2.5,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-83(MD-83),2.0,172.0,Turbo-fan,
B6,173,N775JB,JFK,SJC,342.0,2569,18,10,28.04,15.98,60.1,180.0,3.45234,,0.0,1029.5,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
UA,1412,N24224,EWR,LAX,308.0,2454,10,7,75.02,57.02,53.52,110.0,5.7539,,0.0,1024.2,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
9E,3932,N8918B,EWR,CVG,82.0,569,16,59,89.06,64.94,44.92,240.0,16.11092,,0.0,1014.5,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,1.0
EV,3837,N14998,EWR,IND,98.0,645,13,29,48.02,26.96,43.67,340.0,14.96014,23.0156,0.0,1016.1,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
EV,4509,N14993,EWR,PWM,48.0,284,21,29,53.96,39.02,56.86,260.0,8.05546,16.11092,0.0,1009.5,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
MQ,3603,N510MQ,LGA,DTW,75.0,502,21,10,57.92,48.02,69.52,150.0,5.7539,,0.0,1025.0,10.0,,,,,,,0.0
US,2160,N959UW,LGA,BOS,38.0,184,19,0,51.08,26.96,38.96,220.0,8.05546,,0.0,1022.7,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
EV,5286,N614QX,LGA,BTV,41.0,258,8,45,62.96,44.06,50.03,320.0,3.45234,,0.0,1021.7,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,0.0
UA,703,N596UA,JFK,LAX,315.0,2475,11,24,69.98,46.04,42.29,300.0,16.11092,23.0156,0.0,1007.9,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,0.0
DL,2019,N954DL,LGA,MSP,150.0,1020,18,10,42.08,39.02,88.81,330.0,14.96014,,0.0,997.2,3.0,Fixed wing multi engine,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,2.0,142.0,Turbo-fan,0.0
MQ,4403,N853MQ,JFK,RDU,78.0,427,14,50,48.02,37.94,67.92,180.0,10.35702,,0.0,1014.3,10.0,,,,,,,0.0
WN,1468,N275WN,LGA,MDW,,725,11,15,39.02,32.0,75.69,50.0,11.5078,,0.0,1024.9,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,
UA,404,N509UA,EWR,MIA,152.0,1085,14,34,35.96,8.06,30.76,320.0,11.5078,,0.0,1031.4,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,1.0
MQ,3728,N505MQ,EWR,ORD,111.0,719,14,20,44.06,24.98,46.73,310.0,12.65858,21.86482,0.0,1005.3,10.0,,,,,,,1.0
UA,397,N560UA,JFK,SFO,355.0,2586,8,0,44.06,26.96,50.73,330.0,14.96014,,0.0,1015.8,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,0.0
UA,452,N833UA,LGA,ORD,104.0,733,6,0,55.04,41.0,59.04,270.0,5.7539,,0.0,1027.1,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-131,2.0,179.0,Turbo-jet,0.0
EV,4156,N14904,EWR,ATL,126.0,746,9,51,39.02,28.94,66.85,230.0,9.20624,,0.0,1030.3,9.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
UA,1246,N87527,EWR,SFO,387.0,2565,15,22,53.96,33.98,46.6,240.0,6.90468,,0.0,1012.7,9.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,1.0
AA,1145,N3JVAA,LGA,DFW,206.0,1389,12,55,51.08,33.08,49.97,0.0,0.0,,0.0,1012.2,8.0,,,,,,,0.0
9E,3879,N8891A,EWR,CVG,89.0,569,7,55,62.96,59.0,86.9,20.0,5.7539,,0.0,1013.4,6.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
EV,4445,N16999,EWR,ROC,42.0,246,16,40,53.06,30.92,42.58,140.0,9.20624,,0.0,1026.6,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
DL,1773,N391DA,JFK,SLC,286.0,1990,15,48,30.92,10.04,41.13,310.0,21.86482,33.37262,0.0,1018.4,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,0.0
DL,2379,N346NB,LGA,FLL,159.0,1076,9,5,28.94,23.0,78.18,30.0,10.35702,,0.0,1014.8,9.0,Fixed wing multi engine,AIRBUS,A319-114,2.0,145.0,Turbo-fan,1.0
UA,1685,N33294,EWR,PBI,136.0,1023,16,5,66.92,41.0,38.74,150.0,14.96014,19.56326,0.0,1015.9,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
EV,5711,N832AS,JFK,IAD,48.0,228,9,59,30.02,15.08,53.29,260.0,21.86482,28.7695,0.0,1027.7,10.0,Fixed wing multi engine,CANADAIR,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
US,2134,N949UW,LGA,BOS,32.0,184,16,0,87.08,62.96,44.63,220.0,9.20624,18.41248,0.0,1008.8,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
B6,85,N809JB,JFK,FLL,150.0,1069,13,0,42.8,42.8,100.0,220.0,4.60312,,0.0,,0.75,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
EV,4348,N17169,EWR,MSP,145.0,1008,13,25,84.92,69.98,65.74,230.0,10.35702,,0.0,,10.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,Turbo-fan,0.0
US,1429,N721UW,LGA,CLT,103.0,544,8,45,26.96,6.98,42.14,40.0,10.35702,,0.0,1032.9,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-112,2.0,179.0,Turbo-fan,0.0
AA,1750,N3AAAA,JFK,BOS,37.0,187,16,5,75.92,57.02,51.94,190.0,13.80936,,0.0,1018.0,10.0,,,,,,,0.0
UA,15,N76064,EWR,HNL,601.0,4963,13,29,66.92,42.08,40.39,20.0,10.35702,,0.0,1023.2,10.0,Fixed wing multi engine,BOEING,767-424ER,2.0,292.0,Turbo-jet,0.0
B6,283,N594JB,JFK,MCO,150.0,944,16,13,62.06,48.02,59.99,190.0,4.60312,,0.0,1004.1,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
9E,3868,N8948B,JFK,ORF,47.0,290,14,56,84.92,57.02,38.7,310.0,17.2617,,0.0,1010.3,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,1.0
DL,1429,N380DA,JFK,LAS,303.0,2248,8,10,44.96,35.06,68.05,190.0,4.60312,,0.0,1019.7,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,0.0
B6,217,N634JB,JFK,LGB,344.0,2465,18,10,46.94,33.08,58.33,190.0,18.41248,,0.0,1019.1,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
EV,4229,N16571,EWR,BUF,50.0,282,12,0,44.06,15.98,31.87,240.0,19.56326,27.61872,0.0,1011.0,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
AA,773,N514AA,LGA,DFW,196.0,1389,16,55,77.0,48.92,37.21,180.0,12.65858,19.56326,0.0,1006.5,10.0,,,,,,,0.0
UA,1641,N48127,EWR,MCO,131.0,937,13,4,46.04,14.0,27.11,,4.60312,,0.0,1036.2,10.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,Turbo-jet,0.0
B6,703,N821JB,JFK,SJU,195.0,1598,14,55,30.92,-7.06,18.54,330.0,28.7695,39.12652,0.0,1023.3,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
EV,4326,N14960,EWR,CLT,,529,15,3,82.94,71.96,69.53,170.0,10.35702,,0.0,1019.2,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,
VX,193,N621VA,EWR,SFO,354.0,2565,17,29,60.08,24.08,24.93,280.0,16.11092,,0.0,1017.4,10.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,Turbo-fan,0.0
MQ,3547,N807MQ,LGA,XNA,185.0,1147,7,25,44.96,24.98,45.15,210.0,5.7539,,0.0,1023.9,10.0,,,,,,,0.0
DL,1643,N6701,JFK,SEA,312.0,2422,19,25,57.92,51.98,80.55,120.0,6.90468,,0.0,1026.7,10.0,Fixed wing multi engine,BOEING,757-232,2.0,178.0,Turbo-fan,1.0
UA,1259,N14704,LGA,IAH,219.0,1416,10,29,64.04,55.94,77.29,,10.35702,,0.0,,10.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,Turbo-jet,1.0
UA,1078,N76254,EWR,SAT,244.0,1569,16,29,46.04,28.04,49.19,230.0,10.35702,,0.0,1027.8,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
9E,3691,N8943A,JFK,CHS,86.0,636,18,15,68.0,60.08,75.78,190.0,4.60312,,0.0,1016.9,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
EV,5287,N752EV,LGA,MSN,129.0,812,19,55,64.04,53.06,67.46,220.0,10.35702,16.11092,0.0,1013.7,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,0.0
9E,2943,N8891A,JFK,RIC,61.0,288,19,0,35.96,15.98,43.67,320.0,12.65858,,0.0,1031.5,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
EV,5596,N708EV,LGA,MEM,120.0,963,11,0,57.92,44.06,59.84,40.0,8.05546,,0.0,1024.4,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,0.0
DL,347,N3747D,JFK,SJU,186.0,1598,20,59,57.02,51.98,83.21,240.0,6.90468,,0.0,1024.1,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,0.0
AA,2488,N4XWAA,EWR,DFW,,1372,17,20,50.0,39.92,68.15,170.0,5.7539,,0.0,1031.8,10.0,,,,,,,
DL,503,N3756,JFK,SAN,317.0,2446,17,15,71.06,62.96,75.57,190.0,18.41248,,0.0,1011.2,9.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,1.0
EV,5038,N722EV,LGA,MEM,159.0,963,13,55,42.08,17.96,37.46,290.0,21.86482,32.22184,0.0,1010.4,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,0.0
9E,3488,N933XJ,LGA,MCI,149.0,1107,15,50,75.02,55.04,49.81,310.0,12.65858,23.0156,0.0,1004.1,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
EV,4705,N12967,EWR,ATL,120.0,746,16,35,33.98,32.0,92.36,220.0,11.5078,19.56326,0.0,1018.7,2.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
EV,4304,N11199,EWR,MSY,162.0,1167,8,2,75.02,64.94,70.88,230.0,5.7539,,0.0,1017.5,10.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,Turbo-fan,0.0
B6,111,N579JB,JFK,FLL,136.0,1069,19,5,69.08,62.96,80.86,190.0,20.71404,,0.0,1013.6,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
DL,863,N707TW,JFK,LAX,329.0,2475,12,0,42.98,24.98,48.7,320.0,17.2617,,0.0,1017.6,10.0,Fixed wing multi engine,BOEING,757-2Q8,2.0,178.0,Turbo-fan,0.0
UA,289,N440UA,EWR,MCO,124.0,937,8,30,80.06,73.04,79.2,240.0,8.05546,,0.0,1019.7,5.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
DL,1174,N984DL,LGA,PBI,136.0,1035,12,0,60.08,48.02,64.35,170.0,14.96014,,0.0,1025.9,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,2.0,142.0,Turbo-fan,0.0
MQ,4478,N725MQ,LGA,DTW,86.0,502,9,5,30.92,8.96,39.19,300.0,21.86482,29.92028,0.0,1010.9,10.0,,,,,,,0.0
WN,654,N467WN,EWR,MDW,102.0,711,12,0,98.06,69.08,39.22,300.0,9.20624,17.2617,0.0,1016.7,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,0.0
MQ,3531,N849MQ,LGA,RDU,69.0,431,8,40,44.06,24.98,46.73,320.0,20.71404,33.37262,0.0,1016.2,10.0,,,,,,,1.0
UA,451,N817UA,EWR,CLE,69.0,404,9,50,42.08,10.04,26.47,360.0,5.7539,21.86482,0.0,1025.4,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-131,2.0,179.0,Turbo-jet,0.0
DL,2231,N3737C,LGA,DTW,75.0,502,16,30,80.06,62.96,55.97,160.0,13.80936,,0.0,1013.3,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,1.0
EV,3827,N26549,EWR,ORF,54.0,284,11,45,51.08,33.98,51.81,260.0,9.20624,,0.0,1013.1,8.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
UA,994,N807UA,EWR,BOS,40.0,200,20,59,73.94,55.94,53.37,180.0,8.05546,,0.0,1019.6,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-131,2.0,179.0,Turbo-jet,0.0
WN,614,N923WN,LGA,MDW,114.0,725,11,45,57.02,44.96,63.97,210.0,10.35702,,0.0,1013.9,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,0.0
B6,523,N561JB,EWR,MCO,137.0,937,11,14,69.08,50.0,50.6,120.0,10.35702,18.41248,0.0,1019.8,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
DL,1902,N340NB,LGA,PBI,137.0,1035,16,15,73.04,64.04,73.41,180.0,21.86482,36.82496,0.0,1007.9,10.0,Fixed wing multi engine,AIRBUS,A319-114,2.0,145.0,Turbo-fan,0.0
EV,4411,N14950,EWR,MEM,139.0,946,16,36,71.06,66.92,86.77,130.0,6.90468,,0.02,1011.5,9.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
AA,1171,N3CSAA,LGA,DFW,225.0,1389,16,50,50.0,46.04,86.19,330.0,8.05546,,0.04,1016.2,10.0,,,,,,,1.0
EV,5713,N827AS,LGA,IAD,46.0,229,14,31,84.02,55.94,38.31,270.0,16.11092,20.71404,0.0,1011.5,10.0,Fixed wing multi engine,CANADAIR,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
VX,161,N837VA,EWR,LAX,312.0,2454,9,15,69.98,64.04,81.44,90.0,6.90468,,0.01,1019.7,7.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,Turbo-fan,0.0
AA,321,N573AA,LGA,ORD,127.0,733,10,30,59.0,46.04,62.07,50.0,9.20624,,0.0,1013.6,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS,DC-9-82(MD-82),2.0,172.0,Turbo-fan,1.0
EV,3817,N14902,EWR,MKE,115.0,725,10,43,66.2,60.8,86.95,140.0,9.20624,,0.08,,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
